"","X","Year","Cause","Age","Female","Male"
"1",4080,1950,1,"Total",260552,269742
"2",4080,1950,1,"0",17223,23434
"3",4080,1950,1,"1",3334,3941
"4",4080,1950,1,"2",0,0
"5",4080,1950,1,"3",0,0
"6",4080,1950,1,"4",0,0
"7",4080,1950,1,"5 - 9",708,976
"8",4080,1950,1,"10 - 14",713,961
"9",4080,1950,1,"15 - 19",1281,1879
"10",4080,1950,1,"20 - 24",2072,2940
"11",4080,1950,1,"25 - 29",2607,3712
"12",4080,1950,1,"30 - 34",2086,2823
"13",4080,1950,1,"35 - 39",3523,4873
"14",4080,1950,1,"40 - 44",5008,8017
"15",4080,1950,1,"45 - 49",7207,12217
"16",4080,1950,1,"50 - 54",9729,15975
"17",4080,1950,1,"55 - 59",12712,16767
"18",4080,1950,1,"60 - 64",17564,21991
"19",4080,1950,1,"65 - 69",25613,28558
"20",4080,1950,1,"70 - 74",35257,36245
"21",4080,1950,1,"75 - 79",42082,37519
"22",4080,1950,1,"80 - 84",37523,28105
"23",4080,1950,1,"85 - 89",34254,18721
"24",4080,1950,1,"90 - 94",0,0
"25",4080,1950,1,"95+",0,0
"26",4080,1950,1,"UNK",56,88
"27",4080,1950,2,"Total",14235,22057
"28",4080,1950,2,"0",2650,3493
"29",4080,1950,2,"1",882,939
"30",4080,1950,2,"2",0,0
"31",4080,1950,2,"3",0,0
"32",4080,1950,2,"4",0,0
"33",4080,1950,2,"5 - 9",185,217
"34",4080,1950,2,"10 - 14",170,164
"35",4080,1950,2,"15 - 19",428,298
"36",4080,1950,2,"20 - 24",801,739
"37",4080,1950,2,"25 - 29",959,1141
"38",4080,1950,2,"30 - 34",663,810
"39",4080,1950,2,"35 - 39",784,1237
"40",4080,1950,2,"40 - 44",753,1757
"41",4080,1950,2,"45 - 49",770,2175
"42",4080,1950,2,"50 - 54",684,2151
"43",4080,1950,2,"55 - 59",723,1748
"44",4080,1950,2,"60 - 64",745,1612
"45",4080,1950,2,"65 - 69",902,1448
"46",4080,1950,2,"70 - 74",872,1130
"47",4080,1950,2,"75 - 79",740,659
"48",4080,1950,2,"80 - 84",325,244
"49",4080,1950,2,"85 - 89",197,94
"50",4080,1950,2,"90 - 94",0,0
"51",4080,1950,2,"95+",0,0
"52",4080,1950,2,"UNK",2,1
"53",4080,1950,3,"Total",39141,37386
"54",4080,1950,3,"0",39,45
"55",4080,1950,3,"1",160,208
"56",4080,1950,3,"2",0,0
"57",4080,1950,3,"3",0,0
"58",4080,1950,3,"4",0,0
"59",4080,1950,3,"5 - 9",81,116
"60",4080,1950,3,"10 - 14",49,91
"61",4080,1950,3,"15 - 19",94,135
"62",4080,1950,3,"20 - 24",121,173
"63",4080,1950,3,"25 - 29",194,202
"64",4080,1950,3,"30 - 34",228,188
"65",4080,1950,3,"35 - 39",645,433
"66",4080,1950,3,"40 - 44",1226,969
"67",4080,1950,3,"45 - 49",2029,2113
"68",4080,1950,3,"50 - 54",2847,3331
"69",4080,1950,3,"55 - 59",3636,3749
"70",4080,1950,3,"60 - 64",4552,4751
"71",4080,1950,3,"65 - 69",5714,5905
"72",4080,1950,3,"70 - 74",6226,6443
"73",4080,1950,3,"75 - 79",5729,5025
"74",4080,1950,3,"80 - 84",3549,2553
"75",4080,1950,3,"85 - 89",2018,951
"76",4080,1950,3,"90 - 94",0,0
"77",4080,1950,3,"95+",0,0
"78",4080,1950,3,"UNK",4,5
"79",4080,1950,4,"Total",87246,79564
"80",4080,1950,4,"0",165,220
"81",4080,1950,4,"1",60,71
"82",4080,1950,4,"2",0,0
"83",4080,1950,4,"3",0,0
"84",4080,1950,4,"4",0,0
"85",4080,1950,4,"5 - 9",77,79
"86",4080,1950,4,"10 - 14",120,122
"87",4080,1950,4,"15 - 19",149,186
"88",4080,1950,4,"20 - 24",196,233
"89",4080,1950,4,"25 - 29",324,279
"90",4080,1950,4,"30 - 34",259,262
"91",4080,1950,4,"35 - 39",519,571
"92",4080,1950,4,"40 - 44",960,1206
"93",4080,1950,4,"45 - 49",1609,2296
"94",4080,1950,4,"50 - 54",2716,3857
"95",4080,1950,4,"55 - 59",4074,4912
"96",4080,1950,4,"60 - 64",6473,7615
"97",4080,1950,4,"65 - 69",10410,10938
"98",4080,1950,4,"70 - 74",15298,14668
"99",4080,1950,4,"75 - 79",18260,15731
"100",4080,1950,4,"80 - 84",14707,10482
"101",4080,1950,4,"85 - 89",10858,5828
"102",4080,1950,4,"90 - 94",0,0
"103",4080,1950,4,"95+",0,0
"104",4080,1950,4,"UNK",12,8
"105",4080,1950,5,"Total",27736,31040
"106",4080,1950,5,"0",1928,2658
"107",4080,1950,5,"1",638,739
"108",4080,1950,5,"2",0,0
"109",4080,1950,5,"3",0,0
"110",4080,1950,5,"4",0,0
