"","X","Year","Cause","Age","Female","Male"
"1",4180,1951,1,"Total",232560,249351
"2",4180,1951,1,"0",25977,31371
"3",4180,1951,1,"1",4509,4724
"4",4180,1951,1,"2",1476,1620
"5",4180,1951,1,"3",865,989
"6",4180,1951,1,"4",665,725
"7",4180,1951,1,"5 - 9",1540,1929
"8",4180,1951,1,"10 - 14",1334,1812
"9",4180,1951,1,"15 - 19",1955,2635
"10",4180,1951,1,"20 - 24",2755,3432
"11",4180,1951,1,"25 - 29",3185,3850
"12",4180,1951,1,"30 - 34",2652,3011
"13",4180,1951,1,"35 - 39",3954,4795
"14",4180,1951,1,"40 - 44",5028,6936
"15",4180,1951,1,"45 - 49",6215,9346
"16",4180,1951,1,"50 - 54",8215,11938
"17",4180,1951,1,"55 - 59",11181,14324
"18",4180,1951,1,"60 - 64",16038,18292
"19",4180,1951,1,"65 - 69",22834,23750
"20",4180,1951,1,"70 - 74",29279,29854
"21",4180,1951,1,"75 - 79",33591,31828
"22",4180,1951,1,"80 - 84",27515,24711
"23",4180,1951,1,"85 - 89",21783,17456
"24",4180,1951,1,"90 - 94",0,0
"25",4180,1951,1,"95+",0,0
"26",4180,1951,1,"UNK",14,23
"27",4180,1951,2,"Total",22411,28003
"28",4180,1951,2,"0",7862,9127
"29",4180,1951,2,"1",2140,2128
"30",4180,1951,2,"2",519,543
"31",4180,1951,2,"3",296,304
"32",4180,1951,2,"4",238,236
"33",4180,1951,2,"5 - 9",479,500
"34",4180,1951,2,"10 - 14",378,337
"35",4180,1951,2,"15 - 19",752,563
"36",4180,1951,2,"20 - 24",1189,970
"37",4180,1951,2,"25 - 29",1228,1294
"38",4180,1951,2,"30 - 34",757,955
"39",4180,1951,2,"35 - 39",840,1282
"40",4180,1951,2,"40 - 44",770,1486
"41",4180,1951,2,"45 - 49",658,1604
"42",4180,1951,2,"50 - 54",635,1591
"43",4180,1951,2,"55 - 59",648,1364
"44",4180,1951,2,"60 - 64",678,1154
"45",4180,1951,2,"65 - 69",612,940
"46",4180,1951,2,"70 - 74",606,678
"47",4180,1951,2,"75 - 79",523,500
"48",4180,1951,2,"80 - 84",361,272
"49",4180,1951,2,"85 - 89",241,174
"50",4180,1951,2,"90 - 94",0,0
"51",4180,1951,2,"95+",0,0
"52",4180,1951,2,"UNK",1,1
"53",4180,1951,3,"Total",28450,28557
"54",4180,1951,3,"0",43,57
"55",4180,1951,3,"1",49,58
"56",4180,1951,3,"2",39,59
"57",4180,1951,3,"3",38,53
"58",4180,1951,3,"4",31,51
"59",4180,1951,3,"5 - 9",108,153
"60",4180,1951,3,"10 - 14",97,148
"61",4180,1951,3,"15 - 19",133,175
"62",4180,1951,3,"20 - 24",170,211
"63",4180,1951,3,"25 - 29",281,261
"64",4180,1951,3,"30 - 34",386,246
"65",4180,1951,3,"35 - 39",854,519
"66",4180,1951,3,"40 - 44",1433,1080
"67",4180,1951,3,"45 - 49",1936,1734
"68",4180,1951,3,"50 - 54",2468,2547
"69",4180,1951,3,"55 - 59",3115,3226
"70",4180,1951,3,"60 - 64",3646,3886
"71",4180,1951,3,"65 - 69",4220,4410
"72",4180,1951,3,"70 - 74",3854,4422
"73",4180,1951,3,"75 - 79",3285,3285
"74",4180,1951,3,"80 - 84",1591,1474
"75",4180,1951,3,"85 - 89",672,502
"76",4180,1951,3,"90 - 94",0,0
"77",4180,1951,3,"95+",0,0
"78",4180,1951,3,"UNK",1,0
"79",4180,1951,4,"Total",90311,82761
"80",4180,1951,4,"0",32,44
"81",4180,1951,4,"1",38,34
"82",4180,1951,4,"2",20,25
"83",4180,1951,4,"3",17,17
"84",4180,1951,4,"4",22,28
