"","X","Year","Cause","Age","Female","Male"
"1",3160,1950,1,"Total",437803,467073
"2",3160,1950,1,"0",64268,76247
"3",3160,1950,1,"1",17687,18060
"4",3160,1950,1,"2",11703,12462
"5",3160,1950,1,"3",7447,7873
"6",3160,1950,1,"4",3509,3647
"7",3160,1950,1,"5 - 9",9187,10587
"8",3160,1950,1,"10 - 14",5164,5048
"9",3160,1950,1,"15 - 19",10567,10655
"10",3160,1950,1,"20 - 24",17219,18652
"11",3160,1950,1,"25 - 29",17015,15891
"12",3160,1950,1,"30 - 34",13875,12541
"13",3160,1950,1,"35 - 39",14043,14131
"14",3160,1950,1,"40 - 44",13655,15679
"15",3160,1950,1,"45 - 49",14775,19144
"16",3160,1950,1,"50 - 54",17072,23308
"17",3160,1950,1,"55 - 59",19730,28706
"18",3160,1950,1,"60 - 64",26324,35028
"19",3160,1950,1,"65 - 69",34783,41034
"20",3160,1950,1,"70 - 74",41670,42419
"21",3160,1950,1,"75 - 79",36421,30634
"22",3160,1950,1,"80 - 84",25742,17008
"23",3160,1950,1,"85 - 89",15844,8087
"24",3160,1950,1,"90 - 94",0,0
"25",3160,1950,1,"95+",0,0
"26",3160,1950,1,"UNK",103,232
"27",3160,1950,2,"Total",114831,123087
"28",3160,1950,2,"0",16752,18830
"29",3160,1950,2,"1",9186,8981
"30",3160,1950,2,"2",6763,6925
"31",3160,1950,2,"3",4621,4640
"32",3160,1950,2,"4",2016,1943
"33",3160,1950,2,"5 - 9",4629,4309
"34",3160,1950,2,"10 - 14",2273,1620
"35",3160,1950,2,"15 - 19",6241,4736
"36",3160,1950,2,"20 - 24",10523,10361
"37",3160,1950,2,"25 - 29",9872,9389
"38",3160,1950,2,"30 - 34",6990,6914
"39",3160,1950,2,"35 - 39",5625,6880
"40",3160,1950,2,"40 - 44",4189,6232
"41",3160,1950,2,"45 - 49",3534,5693
"42",3160,1950,2,"50 - 54",3151,5342
"43",3160,1950,2,"55 - 59",2976,4906
"44",3160,1950,2,"60 - 64",3107,4527
"45",3160,1950,2,"65 - 69",3135,3863
"46",3160,1950,2,"70 - 74",3460,3256
"47",3160,1950,2,"75 - 79",2861,2148
"48",3160,1950,2,"80 - 84",1879,1069
"49",3160,1950,2,"85 - 89",1034,501
"50",3160,1950,2,"90 - 94",0,0
"51",3160,1950,2,"95+",0,0
"52",3160,1950,2,"UNK",14,22
"53",3160,1950,3,"Total",34130,34731
"54",3160,1950,3,"0",56,73
"55",3160,1950,3,"1",85,115
"56",3160,1950,3,"2",84,126
"57",3160,1950,3,"3",55,79
"58",3160,1950,3,"4",41,47
"59",3160,1950,3,"5 - 9",159,209
"60",3160,1950,3,"10 - 14",123,186
"61",3160,1950,3,"15 - 19",190,245
"62",3160,1950,3,"20 - 24",283,258
"63",3160,1950,3,"25 - 29",493,282
"64",3160,1950,3,"30 - 34",873,406
"65",3160,1950,3,"35 - 39",1641,782
"66",3160,1950,3,"40 - 44",2545,1515
"67",3160,1950,3,"45 - 49",3243,2511
"68",3160,1950,3,"50 - 54",3791,3826
"69",3160,1950,3,"55 - 59",4079,5122
"70",3160,1950,3,"60 - 64",4719,6026
"71",3160,1950,3,"65 - 69",4825,5914
"72",3160,1950,3,"70 - 74",3816,4344
"73",3160,1950,3,"75 - 79",2058,1988
"74",3160,1950,3,"80 - 84",744,536
"75",3160,1950,3,"85 - 89",223,135
"76",3160,1950,3,"90 - 94",0,0
"77",3160,1950,3,"95+",0,0
"78",3160,1950,3,"UNK",4,6
"79",3160,1950,4,"Total",80941,76092
"80",3160,1950,4,"0",122,117
"81",3160,1950,4,"1",107,112
"82",3160,1950,4,"2",87,105
"83",3160,1950,4,"3",81,92
"84",3160,1950,4,"4",52,56
"85",3160,1950,4,"5 - 9",373,378
"86",3160,1950,4,"10 - 14",540,451
"87",3160,1950,4,"15 - 19",728,661
"88",3160,1950,4,"20 - 24",945,708
"89",3160,1950,4,"25 - 29",1253,782
"90",3160,1950,4,"30 - 34",1245,839
"91",3160,1950,4,"35 - 39",1815,1245
"92",3160,1950,4,"40 - 44",2350,1972
"93",3160,1950,4,"45 - 49",3393,3433
"94",3160,1950,4,"50 - 54",4729,5332
"95",3160,1950,4,"55 - 59",6247,7668
"96",3160,1950,4,"60 - 64",8985,10451
"97",3160,1950,4,"65 - 69",12513,13104
"98",3160,1950,4,"70 - 74",14433,13672
"99",3160,1950,4,"75 - 79",11505,9067
"100",3160,1950,4,"80 - 84",6527,4254
"101",3160,1950,4,"85 - 89",2897,1575
"102",3160,1950,4,"90 - 94",0,0
"103",3160,1950,4,"95+",0,0
"104",3160,1950,4,"UNK",14,18
"105",3160,1950,5,"Total",9735,11632
"106",3160,1950,5,"0",2017,2522
"107",3160,1950,5,"1",529,574
"108",3160,1950,5,"2",565,621
"109",3160,1950,5,"3",401,409
"110",3160,1950,5,"4",173,186
"111",3160,1950,5,"5 - 9",288,343
"112",3160,1950,5,"10 - 14",95,118
"113",3160,1950,5,"15 - 19",154,187
"114",3160,1950,5,"20 - 24",221,305
"115",3160,1950,5,"25 - 29",247,296
"116",3160,1950,5,"30 - 34",208,306
"117",3160,1950,5,"35 - 39",239,388
"118",3160,1950,5,"40 - 44",232,455
"119",3160,1950,5,"45 - 49",283,501
"120",3160,1950,5,"50 - 54",300,564
"121",3160,1950,5,"55 - 59",355,615
"122",3160,1950,5,"60 - 64",488,700
"123",3160,1950,5,"65 - 69",628,714
"124",3160,1950,5,"70 - 74",804,755
"125",3160,1950,5,"75 - 79",687,597
"126",3160,1950,5,"80 - 84",496,304
"127",3160,1950,5,"85 - 89",320,159
"128",3160,1950,5,"90 - 94",0,0
"129",3160,1950,5,"95+",0,0
