"","X","Year","Cause","Age","Female","Male"
"1",4300,1951,1,"Total",24391,25561
"2",4300,1951,1,"0",1039,1428
"3",4300,1951,1,"1",118,158
"4",4300,1951,1,"2",69,102
"5",4300,1951,1,"3",53,72
"6",4300,1951,1,"4",37,52
"7",4300,1951,1,"5 - 9",124,170
"8",4300,1951,1,"10 - 14",58,116
"9",4300,1951,1,"15 - 19",83,209
"10",4300,1951,1,"20 - 24",156,304
"11",4300,1951,1,"25 - 29",247,334
"12",4300,1951,1,"30 - 34",254,388
"13",4300,1951,1,"35 - 39",329,470
"14",4300,1951,1,"40 - 44",494,655
"15",4300,1951,1,"45 - 49",755,1006
"16",4300,1951,1,"50 - 54",977,1408
"17",4300,1951,1,"55 - 59",1346,1827
"18",4300,1951,1,"60 - 64",1901,2336
"19",4300,1951,1,"65 - 69",2664,3128
"20",4300,1951,1,"70 - 74",3748,3770
"21",4300,1951,1,"75 - 79",4080,3605
"22",4300,1951,1,"80 - 84",3260,2427
"23",4300,1951,1,"85 - 89",2599,1596
"24",4300,1951,1,"90 - 94",0,0
"25",4300,1951,1,"95+",0,0
"26",4300,1951,1,"UNK",0,0
"27",4300,1951,2,"Total",1073,1546
"28",4300,1951,2,"0",91,170
"29",4300,1951,2,"1",20,29
"30",4300,1951,2,"2",14,16
"31",4300,1951,2,"3",8,19
"32",4300,1951,2,"4",10,8
"33",4300,1951,2,"5 - 9",26,36
"34",4300,1951,2,"10 - 14",8,13
"35",4300,1951,2,"15 - 19",17,23
"36",4300,1951,2,"20 - 24",49,44
"37",4300,1951,2,"25 - 29",60,54
"38",4300,1951,2,"30 - 34",62,85
"39",4300,1951,2,"35 - 39",46,85
"40",4300,1951,2,"40 - 44",57,96
"41",4300,1951,2,"45 - 49",64,108
"42",4300,1951,2,"50 - 54",60,131
"43",4300,1951,2,"55 - 59",61,134
"44",4300,1951,2,"60 - 64",70,126
"45",4300,1951,2,"65 - 69",88,128
"46",4300,1951,2,"70 - 74",90,114
"47",4300,1951,2,"75 - 79",99,79
"48",4300,1951,2,"80 - 84",47,37
"49",4300,1951,2,"85 - 89",26,11
"50",4300,1951,2,"90 - 94",0,0
