"","X","Year","Cause","Age","Female","Male"
"1",5020,1950,1,"Total",34467,43720
"2",5020,1950,1,"0",2004,2661
"3",5020,1950,1,"1",238,275
"4",5020,1950,1,"2",90,168
"5",5020,1950,1,"3",85,120
"6",5020,1950,1,"4",50,98
"7",5020,1950,1,"5 - 9",204,321
"8",5020,1950,1,"10 - 14",156,225
"9",5020,1950,1,"15 - 19",195,393
"10",5020,1950,1,"20 - 24",291,675
"11",5020,1950,1,"25 - 29",345,562
"12",5020,1950,1,"30 - 34",394,581
"13",5020,1950,1,"35 - 39",624,798
"14",5020,1950,1,"40 - 44",831,1138
"15",5020,1950,1,"45 - 49",1075,1625
"16",5020,1950,1,"50 - 54",1514,2377
"17",5020,1950,1,"55 - 59",2088,3446
"18",5020,1950,1,"60 - 64",2845,4799
"19",5020,1950,1,"65 - 69",3599,5379
"20",5020,1950,1,"70 - 74",4292,5500
"21",5020,1950,1,"75 - 79",4747,5151
"22",5020,1950,1,"80 - 84",4422,4145
"23",5020,1950,1,"85 - 89",4372,3260
"24",5020,1950,1,"90 - 94",0,0
"25",5020,1950,1,"95+",0,0
"26",5020,1950,1,"UNK",6,23
"27",5020,1950,2,"Total",1171,2140
"28",5020,1950,2,"0",215,268
"29",5020,1950,2,"1",50,54
"30",5020,1950,2,"2",20,39
"31",5020,1950,2,"3",18,33
"32",5020,1950,2,"4",11,18
"33",5020,1950,2,"5 - 9",45,61
"34",5020,1950,2,"10 - 14",19,22
"35",5020,1950,2,"15 - 19",34,35
"36",5020,1950,2,"20 - 24",50,35
"37",5020,1950,2,"25 - 29",66,47
"38",5020,1950,2,"30 - 34",65,61
"39",5020,1950,2,"35 - 39",72,83
"40",5020,1950,2,"40 - 44",59,110
"41",5020,1950,2,"45 - 49",50,138
"42",5020,1950,2,"50 - 54",47,181
"43",5020,1950,2,"55 - 59",60,213
"44",5020,1950,2,"60 - 64",63,219
"45",5020,1950,2,"65 - 69",59,209
"46",5020,1950,2,"70 - 74",56,160
"47",5020,1950,2,"75 - 79",52,98
"48",5020,1950,2,"80 - 84",37,35
"49",5020,1950,2,"85 - 89",23,20
"50",5020,1950,2,"90 - 94",0,0
"51",5020,1950,2,"95+",0,0
"52",5020,1950,2,"UNK",0,1
"53",5020,1950,3,"Total",5304,5513
"54",5020,1950,3,"0",9,9
"55",5020,1950,3,"1",7,7
"56",5020,1950,3,"2",9,17
"57",5020,1950,3,"3",9,12
"58",5020,1950,3,"4",2,7
"59",5020,1950,3,"5 - 9",19,36
"60",5020,1950,3,"10 - 14",13,23
"61",5020,1950,3,"15 - 19",21,24
