"","X","Year","Cause","Age","Female","Male"
"1",4290,1951,1,"Total",34460,35339
"2",4290,1951,1,"0",993,1385
"3",4290,1951,1,"1",109,120
"4",4290,1951,1,"2",70,90
"5",4290,1951,1,"3",54,61
"6",4290,1951,1,"4",30,66
"7",4290,1951,1,"5 - 9",128,235
"8",4290,1951,1,"10 - 14",90,120
"9",4290,1951,1,"15 - 19",125,219
"10",4290,1951,1,"20 - 24",184,322
"11",4290,1951,1,"25 - 29",229,358
"12",4290,1951,1,"30 - 34",329,452
"13",4290,1951,1,"35 - 39",429,524
"14",4290,1951,1,"40 - 44",589,792
"15",4290,1951,1,"45 - 49",948,1147
"16",4290,1951,1,"50 - 54",1274,1555
"17",4290,1951,1,"55 - 59",1778,2167
"18",4290,1951,1,"60 - 64",2481,2998
"19",4290,1951,1,"65 - 69",3509,3873
"20",4290,1951,1,"70 - 74",4849,4899
"21",4290,1951,1,"75 - 79",5682,5287
"22",4290,1951,1,"80 - 84",5068,4384
"23",4290,1951,1,"85 - 89",5512,4285
"24",4290,1951,1,"90 - 94",0,0
"25",4290,1951,1,"95+",0,0
"26",4290,1951,1,"UNK",0,0
"27",4290,1951,2,"Total",962,1268
"28",4290,1951,2,"0",54,76
"29",4290,1951,2,"1",13,7
"30",4290,1951,2,"2",3,6
"31",4290,1951,2,"3",4,7
"32",4290,1951,2,"4",4,1
"33",4290,1951,2,"5 - 9",10,12
"34",4290,1951,2,"10 - 14",7,5
"35",4290,1951,2,"15 - 19",22,13
"36",4290,1951,2,"20 - 24",47,56
"37",4290,1951,2,"25 - 29",63,66
"38",4290,1951,2,"30 - 34",65,79
"39",4290,1951,2,"35 - 39",63,77
"40",4290,1951,2,"40 - 44",69,105
"41",4290,1951,2,"45 - 49",64,102
"42",4290,1951,2,"50 - 54",67,134
"43",4290,1951,2,"55 - 59",68,99
"44",4290,1951,2,"60 - 64",77,110
"45",4290,1951,2,"65 - 69",68,107
"46",4290,1951,2,"70 - 74",87,99
"47",4290,1951,2,"75 - 79",56,56
"48",4290,1951,2,"80 - 84",34,34
"49",4290,1951,2,"85 - 89",17,17
"50",4290,1951,2,"90 - 94",0,0
"51",4290,1951,2,"95+",0,0
"52",4290,1951,2,"UNK",0,0
"53",4290,1951,3,"Total",5878,5765
"54",4290,1951,3,"0",5,7
"55",4290,1951,3,"1",8,9
"56",4290,1951,3,"2",12,10
"57",4290,1951,3,"3",10,11
"58",4290,1951,3,"4",7,10
"59",4290,1951,3,"5 - 9",23,37
"60",4290,1951,3,"10 - 14",12,18
"61",4290,1951,3,"15 - 19",12,17
"62",4290,1951,3,"20 - 24",30,35
"63",4290,1951,3,"25 - 29",33,32
"64",4290,1951,3,"30 - 34",80,49
"65",4290,1951,3,"35 - 39",127,85
"66",4290,1951,3,"40 - 44",219,150
"67",4290,1951,3,"45 - 49",362,237
"68",4290,1951,3,"50 - 54",469,361
"69",4290,1951,3,"55 - 59",649,538
"70",4290,1951,3,"60 - 64",678,737
"71",4290,1951,3,"65 - 69",789,865
"72",4290,1951,3,"70 - 74",831,979
"73",4290,1951,3,"75 - 79",743,830
"74",4290,1951,3,"80 - 84",494,489
"75",4290,1951,3,"85 - 89",285,259
"76",4290,1951,3,"90 - 94",0,0
"77",4290,1951,3,"95+",0,0
"78",4290,1951,3,"UNK",0,0
"79",4290,1951,4,"Total",16812,15740
"80",4290,1951,4,"0",0,4
"81",4290,1951,4,"1",3,6
"82",4290,1951,4,"2",1,1
"83",4290,1951,4,"3",0,2
"84",4290,1951,4,"4",3,2
"85",4290,1951,4,"5 - 9",5,7
"86",4290,1951,4,"10 - 14",12,7
"87",4290,1951,4,"15 - 19",13,17
"88",4290,1951,4,"20 - 24",10,16
"89",4290,1951,4,"25 - 29",18,19
"90",4290,1951,4,"30 - 34",36,57
"91",4290,1951,4,"35 - 39",92,61
"92",4290,1951,4,"40 - 44",111,169
"93",4290,1951,4,"45 - 49",255,351
"94",4290,1951,4,"50 - 54",419,539
"95",4290,1951,4,"55 - 59",696,919
"96",4290,1951,4,"60 - 64",1182,1404
"97",4290,1951,4,"65 - 69",1901,2026
"98",4290,1951,4,"70 - 74",2831,2687
"99",4290,1951,4,"75 - 79",3461,2961
"100",4290,1951,4,"80 - 84",2966,2446
