"","X","Year","Cause","Age","Female","Male"
"1",5150,1950,1,"Total",8143,9941
"2",5150,1950,1,"0",607,757
"3",5150,1950,1,"1",75,88
"4",5150,1950,1,"2",36,41
"5",5150,1950,1,"3",22,31
"6",5150,1950,1,"4",11,26
"7",5150,1950,1,"5 - 9",55,76
"8",5150,1950,1,"10 - 14",35,61
"9",5150,1950,1,"15 - 19",66,113
"10",5150,1950,1,"20 - 24",91,128
"11",5150,1950,1,"25 - 29",96,101
"12",5150,1950,1,"30 - 34",110,120
"13",5150,1950,1,"35 - 39",150,181
"14",5150,1950,1,"40 - 44",180,198
"15",5150,1950,1,"45 - 49",261,310
"16",5150,1950,1,"50 - 54",312,436
"17",5150,1950,1,"55 - 59",451,624
"18",5150,1950,1,"60 - 64",644,922
"19",5150,1950,1,"65 - 69",943,1297
"20",5150,1950,1,"70 - 74",1113,1484
"21",5150,1950,1,"75 - 79",1041,1333
"22",5150,1950,1,"80 - 84",948,924
"23",5150,1950,1,"85 - 89",895,688
"24",5150,1950,1,"90 - 94",0,0
"25",5150,1950,1,"95+",0,0
"26",5150,1950,1,"UNK",1,2
"27",5150,1950,2,"Total",476,609
"28",5150,1950,2,"0",60,71
"29",5150,1950,2,"1",23,26
"30",5150,1950,2,"2",15,8
"31",5150,1950,2,"3",2,5
"32",5150,1950,2,"4",3,9
"33",5150,1950,2,"5 - 9",13,16
"34",5150,1950,2,"10 - 14",10,10
"35",5150,1950,2,"15 - 19",25,19
"36",5150,1950,2,"20 - 24",44,23
"37",5150,1950,2,"25 - 29",37,15
"38",5150,1950,2,"30 - 34",24,31
"39",5150,1950,2,"35 - 39",29,37
"40",5150,1950,2,"40 - 44",29,30
"41",5150,1950,2,"45 - 49",24,38
"42",5150,1950,2,"50 - 54",15,42
"43",5150,1950,2,"55 - 59",18,44
"44",5150,1950,2,"60 - 64",25,45
"45",5150,1950,2,"65 - 69",27,47
"46",5150,1950,2,"70 - 74",21,40
"47",5150,1950,2,"75 - 79",13,37
"48",5150,1950,2,"80 - 84",7,12
"49",5150,1950,2,"85 - 89",12,4
"50",5150,1950,2,"90 - 94",0,0
"51",5150,1950,2,"95+",0,0
"52",5150,1950,2,"UNK",0,0
"53",5150,1950,3,"Total",1329,1447
"54",5150,1950,3,"0",3,1
"55",5150,1950,3,"1",4,3
"56",5150,1950,3,"2",2,4
"57",5150,1950,3,"3",3,2
"58",5150,1950,3,"4",2,1
"59",5150,1950,3,"5 - 9",6,11
"60",5150,1950,3,"10 - 14",5,8
"61",5150,1950,3,"15 - 19",5,5
"62",5150,1950,3,"20 - 24",4,9
"63",5150,1950,3,"25 - 29",8,10
"64",5150,1950,3,"30 - 34",21,5
"65",5150,1950,3,"35 - 39",31,27
"66",5150,1950,3,"40 - 44",54,28
