"","X","Year","Cause","Age","Female","Male"
"1",4210,1950,1,"Total",36663,38917
"2",4210,1950,1,"0",2446,3331
"3",4210,1950,1,"1",287,347
"4",4210,1950,1,"2",168,246
"5",4210,1950,1,"3",140,168
"6",4210,1950,1,"4",112,147
"7",4210,1950,1,"5 - 9",220,384
"8",4210,1950,1,"10 - 14",127,217
"9",4210,1950,1,"15 - 19",189,368
"10",4210,1950,1,"20 - 24",290,478
"11",4210,1950,1,"25 - 29",357,498
"12",4210,1950,1,"30 - 34",391,441
"13",4210,1950,1,"35 - 39",543,580
"14",4210,1950,1,"40 - 44",711,826
"15",4210,1950,1,"45 - 49",1064,1195
"16",4210,1950,1,"50 - 54",1389,1814
"17",4210,1950,1,"55 - 59",1908,2326
"18",4210,1950,1,"60 - 64",2723,3137
"19",4210,1950,1,"65 - 69",3929,4210
"20",4210,1950,1,"70 - 74",5200,5258
"21",4210,1950,1,"75 - 79",5804,5414
"22",4210,1950,1,"80 - 84",4805,4398
"23",4210,1950,1,"85 - 89",3860,3134
"24",4210,1950,1,"90 - 94",0,0
"25",4210,1950,1,"95+",0,0
"26",4210,1950,1,"UNK",0,0
"27",4210,1950,2,"Total",1632,1988
"28",4210,1950,2,"0",205,262
"29",4210,1950,2,"1",70,84
"30",4210,1950,2,"2",37,75
"31",4210,1950,2,"3",47,44
"32",4210,1950,2,"4",46,33
"33",4210,1950,2,"5 - 9",53,60
"34",4210,1950,2,"10 - 14",21,18
"35",4210,1950,2,"15 - 19",38,44
"36",4210,1950,2,"20 - 24",85,51
"37",4210,1950,2,"25 - 29",82,91
"38",4210,1950,2,"30 - 34",75,76
"39",4210,1950,2,"35 - 39",77,82
"40",4210,1950,2,"40 - 44",77,112
"41",4210,1950,2,"45 - 49",57,106
"42",4210,1950,2,"50 - 54",57,125
"43",4210,1950,2,"55 - 59",86,138
"44",4210,1950,2,"60 - 64",99,131
"45",4210,1950,2,"65 - 69",117,152
"46",4210,1950,2,"70 - 74",111,150
"47",4210,1950,2,"75 - 79",94,89
"48",4210,1950,2,"80 - 84",58,47
"49",4210,1950,2,"85 - 89",40,18
"50",4210,1950,2,"90 - 94",0,0
"51",4210,1950,2,"95+",0,0
"52",4210,1950,2,"UNK",0,0
"53",4210,1950,3,"Total",7587,7735
"54",4210,1950,3,"0",13,21
"55",4210,1950,3,"1",10,13
"56",4210,1950,3,"2",13,17
"57",4210,1950,3,"3",11,10
"58",4210,1950,3,"4",17,10
"59",4210,1950,3,"5 - 9",30,42
"60",4210,1950,3,"10 - 14",20,20
"61",4210,1950,3,"15 - 19",34,42
"62",4210,1950,3,"20 - 24",35,54
"63",4210,1950,3,"25 - 29",76,63
"64",4210,1950,3,"30 - 34",81,90
"65",4210,1950,3,"35 - 39",159,117
"66",4210,1950,3,"40 - 44",280,202
"67",4210,1950,3,"45 - 49",452,320
"68",4210,1950,3,"50 - 54",584,564
"69",4210,1950,3,"55 - 59",778,738
"70",4210,1950,3,"60 - 64",880,945
"71",4210,1950,3,"65 - 69",1047,1127
"72",4210,1950,3,"70 - 74",1120,1262
"73",4210,1950,3,"75 - 79",1001,1114
"74",4210,1950,3,"80 - 84",624,664
"75",4210,1950,3,"85 - 89",322,300
"76",4210,1950,3,"90 - 94",0,0
"77",4210,1950,3,"95+",0,0
"78",4210,1950,3,"UNK",0,0
"79",4210,1950,4,"Total",14714,13705
